"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"--nVNvIAAAAJ","KYLE ANDREW JAMIESON ","CS",26,33,2002,2016,38,8068,3079,1.676,3.605,1,0,0,0,2000,127,5,122,0.12280701754386,405.359344260531,0.000136425226888916,"CS",8,NA,"CS"
"-0CQuX8AAAAJ","JINGYI FEI ","BIO",13,14,2007,2016,23,818,234,9.825,5.174,0,0,0,0,2005,98,4,94,0.263157894736842,1763.09609556233,0.000148133392163329,"BIO",14,NA,"BIO"
"-0iKXsgAAAAJ","RAMIN RAMEZANI ","CS",6,4,2008,2016,12,127,37,2.633,3.833,0,0,0,0,2005,3,1,2,0.0526315789473684,0,6.454881519105e-05,"CS",13,NA,"CS"
"-0nYQVIAAAAJ","NATHAN JB KRAFT ","BIO",31,40,2006,2016,47,4806,855,8.728,11.298,4,537870,0,0,2005,300,11,289,0.0824372759856631,9305.64228424578,0.000349979424459592,"BIO",19,NA,"BIO"
"-0ppt6oAAAAJ","YURY O CHERNOFF ","BIO",41,60,1988,2016,73,6428,892,5.783,5.137,3,1335122,0,0,1985,143,4,139,0.0852272727272727,3325.85740132487,0.000180780168085467,"XD",55,NA,"BIO"
"-0rEuLgAAAAJ","CHANGXI ZHENG ","CS",14,15,2005,2016,31,827,161,3.979,3.548,1,198949,0,0,2005,205,5,200,0.176470588235294,1330.45176772445,0.000144515721541406,"CS",15,NA,"CS"
"-234SKAAAAAJ","FRANK JAMES STEWART ","BIO",22,27,2004,2016,43,1966,238,8.884,6.116,4,1483015,0,0,2000,161,3,158,0.125,168.156754204624,0.000157434741092753,"BIO",55,NA,"BIO"
"-31-oa0AAAAJ","ERIC A WEBB ","BIO",29,40,1996,2016,41,3671,907,8.871,7.317,10,4949122,0,0,1995,198,10,188,0.126984126984127,1728.21913939611,0.00033297078122025,"BIO",55,NA,"BIO"
"-5DNOLIAAAAJ","ELIZABETH M QUINLAN ","BIO",22,25,1996,2016,26,3371,533,8.837,4.423,1,355573,0,0,1995,74,0,74,0.164179104477612,0,0,"BIO",55,NA,"BIO"
"-5LVcdsAAAAJ","MENG SHYAN CHOY ","BIO",11,11,2004,2016,13,314,91,5.203,8.077,0,0,0,0,2000,48,1,47,0.0727272727272727,0,0.000101403034175381,"BIO",34,NA,"BIO"
"-5ZxgGsAAAAJ","KENNETH DON MILLER ","BIO",38,60,1988,2017,73,7015,1733,7.104,2.822,26,11937630,15,4332771,1985,37,3,34,0.140845070422535,3893.23543503654,0.000247219249336022,"BIO",14,NA,"BIO"
"-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ","CS",57,111,1990,2016,132,21125,2563,3.641,3.682,0,0,0,0,1990,348,17,331,0.138888888888889,8427.60784349499,0.000408068364538418,"CS",6,NA,"CS"
"-6FYTfMAAAAJ","HENRY M PAGE ","BIO",16,23,1995,2015,27,776,94,2.414,4.852,4,1196310,0,0,1995,59,2,57,0.104477611940299,68.3116255989576,9.85579336386076e-05,"BIO",50,NA,"BIO"
"-78feYUAAAAJ","LAURA M HURLEY ","BIO",17,23,1998,2016,25,640,84,3.182,2.88,3,1071970,0,0,1995,13,0,13,0.0333333333333333,0,0,"BIO",34,NA,"BIO"
"-aQaHIoAAAAJ","GIACOMO BERNARDI ","BIO",38,83,1985,2016,105,4748,447,3.205,6.276,6,288966,0,0,1985,410,12,398,0.115909090909091,7761.21352140092,0.000405930399629219,"BIO",55,NA,"BIO"
"-BLWw_kAAAAJ","GABRIEL E ZENTNER ","BIO",16,19,2009,2016,20,1053,267,11.632,5.4,0,0,0,0,2005,127,1,126,0.192982456140351,0,8.21241987347376e-05,"BIO",34,NA,"BIO"
"-chjN0MAAAAJ","ROBERT M PRINGLE ","BIO",25,33,2003,2017,50,2534,325,10.219,7.1,4,887879,0,0,2000,244,5,239,0.0757575757575758,8478.6286547904,0.000174643699453509,"XD",9,2015,"BIO"
"-cL-RwUAAAAJ","BARRY ANDREW TRIMMER ","BIO",30,61,1983,2016,80,2602,185,4.194,3.25,12,4844044,0,0,1980,51,5,46,0.149606299212598,4379.31741474433,0.000216637405411749,"XD",68,2008,"BIO"
"-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ","CS",21,55,1999,2016,92,1546,105,3.866,6.304,0,0,9,1959621,1995,237,12,225,0.720930232558139,7007.55063937902,0.000392553384428654,"XD",40,2004,"CS"
"-D2TBHUAAAAJ","NOEMIE ELHADAD ","BIO",27,52,2001,2016,70,2663,307,2.859,4.143,4,3317157,13,4218237,2000,229,19,210,0.571428571428571,5713.29685850044,0.000450550202306633,"XD",15,2001,"BIO"
"-DEyRIgAAAAJ","AVITAL ADAH RODAL ","BIO",16,20,1998,2016,25,2025,443,8.958,5.4,1,414093,0,0,1995,152,4,148,0.144578313253012,4009.53065726551,0.000203222742701186,"BIO",55,NA,"BIO"
"-DfTtxgAAAAJ","GANG WANG ","CS",13,14,2009,2016,22,787,123,1.402,5.909,2,514302,0,0,1995,629,38,591,0.525735294117647,98999.1666724082,0.000906929937615771,"XD",40,NA,"CS"
"-Dg42W8AAAAJ","SARA M LEWIS ","BIO",35,64,1982,2015,71,3435,462,3.174,2.93,4,862672,0,0,1980,66,6,60,0.032967032967033,3610.05429682912,0.000270069215995519,"BIO",68,NA,"BIO"
"-E5k6m4AAAAJ","GIL ZUSSMAN ","CS",28,41,2002,2016,77,2674,295,2.636,4.805,8,2958105,0,0,2000,162,9,153,0.0852713178294574,2222.04068655594,0.000224281656172984,"CS",15,NA,"CS"
"-ERiTHkAAAAJ","GILLIAN HEATHER GILE ","BIO",11,13,2006,2016,21,627,173,7.046,9.667,1,0,0,0,2005,201,0,201,0.166666666666667,0,0,"BIO",55,NA,"BIO"
"-EXWOU0AAAAJ","DMH WALKER ","CS",27,64,1967,2015,80,1589,113,0.674,3.288,0,0,0,0,1965,153,1,152,0.09,0,7.48205842119564e-05,"CS",40,NA,"CS"
"-fxI3cUAAAAJ","SEAN R COLLINS ","BIO",28,33,2003,2016,36,9864,2448,21.062,10.667,0,0,0,0,2000,438,7,431,0.405857740585774,6479.89192270434,0.000286365700087531,"XD",19,2008,"BIO"
"-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ","CS",41,129,1983,2015,178,4558,433,1.077,2.483,2,627432,0,0,1980,79,4,75,0.10077519379845,1651.71091258799,0.000148910048429162,"CS",70,NA,"CS"
"-H7Y-VUAAAAJ","CLAUDIA MAY TYLER ","BIO",12,14,1993,2011,18,560,134,2.689,2.278,0,0,0,0,1990,19,0,19,0,0,0,"BIO",50,NA,"BIO"
"-had2Q8AAAAJ","DAVID G DRUBIN ","BIO",86,173,1983,2016,179,20233,709,8.867,5.86,0,0,87,26377992,1980,590,15,575,0.138783269961977,21103.4695553719,0.000486529822154596,"BIO",4,NA,"BIO"
"-HwCwkAAAAAJ","MARC S MANGEL ","BIO",70,246,1971,2016,312,16915,1436,4.187,3.603,12,2347501,0,0,1970,379,8,371,0.0677966101694915,10315.2840949667,0.000327772917947132,"BIO",55,NA,"BIO"
"-iLn_XwAAAAJ","HOPI E HOEKSTRA ","BIO",39,63,1996,2016,70,7140,1352,11.78,4.571,12,2480024,0,0,1995,362,21,341,0.292553191489362,26067.4863515211,0.000624029631499981,"XD",1,2010,"BIO"
"-IMW-w0AAAAJ","BEICHUAN ZHANG ","CS",39,85,1998,2016,76,5198,608,1.867,5.329,7,1908621,0,0,1995,378,11,367,0.301369863013699,1023.58725023961,0.00026193016845659,"XD",40,2014,"CS"
"-Jbd9DsAAAAJ","GOPAL GUPTA ","CS",27,86,1985,2016,161,2838,200,0.996,3.18,23,10606918,0,0,1985,163,7,156,0.105691056910569,5545.31036645517,0.000248336779880713,"CS",70,NA,"CS"
"-jW6ADwAAAAJ","BILL TOMLINSON ","CS",23,47,1996,2016,89,2371,736,2.163,4.64,0,0,0,0,1995,153,11,142,0.0751445086705202,718.15534221207,0.000285642308824305,"CS",29,NA,"CS"
"-Jz7TjkAAAAJ","MALAIYALAM MARIAPPAN ","BIO",12,13,2003,2015,18,998,273,15.091,6.833,0,0,1,0,2000,20,0,20,0.0869565217391304,0,0,"BIO",7,NA,"BIO"
"-LPp6oUAAAAJ","AARON D GITLER ","BIO",39,63,2000,2016,74,7647,891,13.442,11.108,0,0,18,6807823,2000,529,7,522,0.18019801980198,6843.22070457847,0.000274830520132685,"XD",1,2009,"BIO"
"-LyegNoAAAAJ","NEAL F LUE ","BIO",33,55,1986,2015,66,3561,551,8.262,4.288,1,603957,0,0,1985,345,1,344,0.149253731343284,0,7.50945594609569e-05,"BIO",26,NA,"BIO"
"-m5wrTkAAAAJ","GAUTAM BISWAS ","CS",45,207,1981,2017,401,8499,345,1.781,3.84,21,10586467,0,0,1980,373,11,362,0.0968523002421307,14708.9823172656,0.000371460656039008,"CS",56,NA,"CS"
"-MQXqOkAAAAJ","DAVID SAMUEL SCHNEIDER ","BIO",31,49,1982,2016,57,3758,319,10.939,4.439,9,1266207,7,152252,1980,177,4,173,0.136363636363636,4880.3205403846,0.000183172396890286,"XD",1,NA,"BIO"
"-NkxFNoAAAAJ","MAHESH BALAKRISHNAN ","CS",19,26,2005,2016,47,1440,231,1.217,4.681,1,0,0,0,2005,169,5,164,0.0517241379310345,317.600477693832,0.000134842317583862,"CS",20,NA,"CS"
"-o3I0zUAAAAJ","ZHIPING WENG ","BIO",78,170,1994,2017,223,26750,3903,11.83,9.578,7,7436716,37,21291013,1990,1270,29,1241,0.45218945487042,30196.7825391384,0.000691289585957545,"XD",50,2005,"BIO"
"-OdJO1UAAAAJ","DANIEL JAMES KLIEBENSTEIN ","BIO",53,92,1994,2016,116,8884,478,6.891,5.172,7,4157534,0,0,1990,363,10,353,0.219330855018587,5498.93975070315,0.000309828178380684,"XD",19,2008,"BIO"
"-PWcE1YAAAAJ","RAN CANETTI ","CS",66,144,1991,2016,160,22233,1723,1.166,3.581,4,2173016,0,0,1990,335,29,306,0.0340909090909091,8579.13959997768,0.000588433140852848,"CS",48,NA,"CS"
